userid,ATMS_1,ATMS_2,ATMS_3,ATMS_4,ATMS_5,ATMS_6,ATMS_7,ATMS_8,max_TMS_1,max_TMS_2,max_TMS_3,max_TMS_4,max_TMS_5,max_TMS_6,max_TMS_7,max_TMS_8,min_TMS_1,min_TMS_2,min_TMS_3,min_TMS_4,min_TMS_5,min_TMS_6,min_TMS_7,min_TMS_8,length_1,length_2,length_3,length_4,length_5,length_6,length_7,length_8,accel_x_1,accel_x_2,accel_x_3,accel_x_4,accel_x_5,accel_x_6,accel_x_7,accel_x_8,accel_y_1,accel_y_2,accel_y_3,accel_y_4,accel_y_5,accel_y_6,accel_y_7,accel_y_8,accel_z_1,accel_z_2,accel_z_3,accel_z_4,accel_z_5,accel_z_6,accel_z_7,accel_z_8,max_accel_x_1,max_accel_x_2,max_accel_x_3,max_accel_x_4,max_accel_x_5,max_accel_x_6,max_accel_x_7,max_accel_x_8,min_accel_x_1,min_accel_x_2,min_accel_x_3,min_accel_x_4,min_accel_x_5,min_accel_x_6,min_accel_x_7,min_accel_x_8,max_accel_y_1,max_accel_y_2,max_accel_y_3,max_accel_y_4,max_accel_y_5,max_accel_y_6,max_accel_y_7,max_accel_y_8,min_accel_y_1,min_accel_y_2,min_accel_y_3,min_accel_y_4,min_accel_y_5,min_accel_y_6,min_accel_y_7,min_accel_y_8,max_accel_z_1,max_accel_z_2,max_accel_z_3,max_accel_z_4,max_accel_z_5,max_accel_z_6,max_accel_z_7,max_accel_z_8,min_accel_z_1,min_accel_z_2,min_accel_z_3,min_accel_z_4,min_accel_z_5,min_accel_z_6,min_accel_z_7,min_accel_z_8,total_accel_1,total_accel_2,total_accel_3,total_accel_4,total_accel_5,total_accel_6,total_accel_7,total_accel_8,gyro_x_1,gyro_x_2,gyro_x_3,gyro_x_4,gyro_x_5,gyro_x_6,gyro_x_7,gyro_x_8,gyro_y_1,gyro_y_2,gyro_y_3,gyro_y_4,gyro_y_5,gyro_y_6,gyro_y_7,gyro_y_8,gyro_z_1,gyro_z_2,gyro_z_3,gyro_z_4,gyro_z_5,gyro_z_6,gyro_z_7,gyro_z_8,max_gyro_x_1,max_gyro_x_2,max_gyro_x_3,max_gyro_x_4,max_gyro_x_5,max_gyro_x_6,max_gyro_x_7,max_gyro_x_8,min_gyro_x_1,min_gyro_x_2,min_gyro_x_3,min_gyro_x_4,min_gyro_x_5,min_gyro_x_6,min_gyro_x_7,min_gyro_x_8,max_gyro_y_1,max_gyro_y_2,max_gyro_y_3,max_gyro_y_4,max_gyro_y_5,max_gyro_y_6,max_gyro_y_7,max_gyro_y_8,min_gyro_y_1,min_gyro_y_2,min_gyro_y_3,min_gyro_y_4,min_gyro_y_5,min_gyro_y_6,min_gyro_y_7,min_gyro_y_8,max_gyro_z_1,max_gyro_z_2,max_gyro_z_3,max_gyro_z_4,max_gyro_z_5,max_gyro_z_6,max_gyro_z_7,max_gyro_z_8,min_gyro_z_1,min_gyro_z_2,min_gyro_z_3,min_gyro_z_4,min_gyro_z_5,min_gyro_z_6,min_gyro_z_7,min_gyro_z_8,total_gyro_1,total_gyro_2,total_gyro_3,total_gyro_4,total_gyro_5,total_gyro_6,total_gyro_7,total_gyro_8
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.04201787704678e-06,6.8603584968459e-07,1.10189466623343e-06,,,,,8.8645473474069e-07,1.82732053729518e-06,1.35421934508486e-06,1.89159324380269e-06,,,,,1.31533410441164e-06,1.960784313725e-08,1.6637806616154e-07,1.5451574283614e-07,,,,,1.4482767929281e-07,334.096947,101.375561,363.004634,,,,,173.488143,-2.276886,-2.03956,-1.721879,,,,,-1.852848,4.883423,4.771048,4.590283,,,,,4.675877,8.0728,8.082228,8.232462,,,,,8.2028,-1.48201,-1.92015,-1.4054,,,,,-1.37667,-3.05261,-2.09732,-2.06141,,,,,-2.79643,5.32949,4.80995,4.73573,,,,,5.09726,4.58011,4.72137,4.44603,,,,,4.48913,9.48343,8.18817,8.47547,,,,,8.68616,7.63032,7.93678,7.99663,,,,,7.83143,9.721404,9.604709,9.583953,,,,,9.638405,-0.108849,-0.045968,-0.021915,,,,,-0.088236,-0.052954,-0.028634,0.0197,,,,,-0.013914,0.134467,0.050473,0.027756,,,,,0.121291,0.025046,0.0,0.045815,,,,,-0.027489,-0.225409,-0.111177,-0.117897,,,,,-0.21869,0.066584,0.002443,0.095295,,,,,0.051924,-0.387289,-0.073915,-0.093462,,,,,-0.090408,0.2755,0.069028,0.109956,,,,,0.251066,-0.050702,0.015272,-0.060476,,,,,0.02138,0.211205,0.077574,0.089288,,,,,0.16502
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.08145850933274e-06,8.5119398801516e-07,1.23765249322032e-06,,,,1.25e-07,9.5713686775056e-07,1.76175052772711e-06,1.47176423567021e-06,1.91538119472529e-06,,,,1.25e-07,1.43123824242311e-06,2.941176470588e-08,1.3975424859374e-07,2e-08,,,,1.25e-07,1.9764235376052e-07,322.581182,121.551592,321.322417,,,,2.0,194.3902,-2.205209,-2.135627,-1.861216,,,,-2.38941,-2.41229,4.879084,4.893066,4.732232,,,,5.02543,4.985791,7.941568,8.083167,8.094979,,,,8.37252,7.845532,-1.34075,-1.99916,-1.55623,,,,-2.38941,-1.30005,-2.82516,-2.33195,-2.24337,,,,-2.38941,-3.28484,5.14514,4.97994,4.89375,,,,5.02543,5.36301,4.52504,4.7884,4.60405,,,,5.02543,4.55377,8.79869,8.51378,8.4635,,,,8.37252,8.7532,7.41724,7.6375,7.82425,,,,8.37252,7.33105,9.592961,9.689821,9.562483,,,,10.053025,9.641792,-0.134505,-0.036128,-0.021333,,,,-0.171653,-0.064073,-0.060819,-0.02618,0.014285,,,,-0.263894,-0.016018,0.171806,0.040928,0.035947,,,,-0.024435,0.087897,0.109345,0.019548,0.052534,,,,-0.171653,0.080023,-0.291994,-0.089186,-0.083078,,,,-0.171653,-0.14844,0.078191,-0.009163,0.071471,,,,-0.263894,0.081245,-0.21197,-0.045204,-0.071471,,,,-0.263894,-0.09163,0.299324,0.08491,0.08491,,,,-0.024435,0.234572,-0.016493,0.022602,-0.052534,,,,-0.024435,0.0,0.250707,0.072127,0.079731,,,,0.315756,0.147864
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.15202694675383e-06,6.5422680671081e-07,1.15460386035718e-06,,4.941176470588e-08,,,7.9164990480664e-07,1.68865701076329e-06,1.06045625748941e-06,1.69212329633511e-06,,5.882352941176e-08,,,1.35421934508486e-06,1.8601633295108e-07,2.4956709924231e-07,5.882352941176e-08,,4e-08,,,1.7102046661146e-07,279.662782,88.107005,381.817191,,2.0,,,221.217151,-2.30003,-2.100056,-1.913446,,-2.038665,,,-2.091334,4.857037,4.77951,4.680664,,4.73573,,,4.750296,7.995039,8.121474,8.108523,,8.157045,,,8.030352,-1.73819,-1.69988,-1.54905,,-1.99198,,,-1.75734,-3.02627,-2.45406,-2.229,,-2.08535,,,-2.96402,5.16429,4.94881,4.81474,,4.7477,,,5.20739,4.69742,4.5825,4.50589,,4.72376,,,4.58968,8.3821,8.48744,8.43477,,8.32943,,,8.37252,7.48667,7.79313,7.82186,,7.98466,,,7.64469,9.642734,9.66109,9.558125,,9.650525,,,9.571696,-0.106749,-0.029409,-0.027367,,-0.054672,,,-0.07086,-0.031205,-0.04119,0.004846,,-0.061392,,,-0.022551,0.159079,0.038746,0.049847,,-0.011606,,,0.100589,-0.036041,0.026878,0.036041,,-0.019548,,,0.012828,-0.189979,-0.066584,-0.092852,,-0.089797,,,-0.17654,0.037874,0.07025,0.071471,,-0.004887,,,0.055589,-0.083078,-0.123395,-0.115454,,-0.117897,,,-0.145386,0.209527,0.09163,0.090408,,-0.009163,,,0.174097,0.044593,0.001833,-0.025046,,-0.01405,,,0.034208,0.199566,0.096613,0.090718,,0.086524,,,0.14338
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.23734586844711e-06,3.0625874646858e-07,1.23061308620562e-06,,,,,8.8815893144788e-07,1.75e-06,5.9116915418358e-07,2.00366972785655e-06,,,,,1.20731622069258e-06,5.882352941176e-08,5.656854249492e-08,3.030303030303e-08,,,,,1.6706618781522e-07,337.960706,20.408361,465.860438,,,,,174.809663,-2.233449,-1.906583,-1.914605,,,,,-2.033476,4.90247,4.77324,4.766099,,,,,4.817133,7.99937,8.206523,8.096813,,,,,7.981204,-1.60172,-1.6113,-1.4868,,,,,-1.42934,-3.3447,-2.17633,-2.27928,,,,,-3.23217,5.40132,4.90093,4.96797,,,,,5.36301,4.55138,4.64954,4.54659,,,,,4.5849,8.48744,8.29112,8.4659,,,,,8.44196,7.20415,8.05888,7.77876,,,,,7.1443,9.661573,9.685475,9.591577,,,,,9.577959,-0.144208,-0.009977,-0.024981,,,,,-0.082467,-0.071646,0.014864,-0.000225,,,,,-0.005634,0.177544,-0.014661,0.028035,,,,,0.104865,0.016493,0.008552,0.037263,,,,,-0.030543,-0.291383,-0.021991,-0.081856,,,,,-0.131947,0.040317,0.042761,0.061697,,,,,0.05681,-0.227853,0.0,-0.139888,,,,,-0.073915,0.252287,0.009774,0.090408,,,,,0.189368,-0.00672,-0.028711,-0.050091,,,,,0.003665,0.259876,0.033455,0.079596,,,,,0.151646
63zhMNC9G0MQVvRGKg8MKlDk14Q2,9.9742725630814e-07,8.6221227701323e-07,9.8276575839569e-07,,5.882352941176e-08,,,1.21945404424944e-06,1.6875e-06,1.76568600232984e-06,1.88435167896017e-06,,5.882352941176e-08,,,1.56749202549806e-06,1.3153341044116e-07,8.318903308077e-08,2.941176470588e-08,,5.882352941176e-08,,,3.524021902237e-08,225.493318,119.190217,371.09232,,1.0,,,273.094873,-2.034272,-1.82917,-2.031669,,-2.15239,,,-2.26784,4.787806,4.6834,4.801634,,4.87459,,,4.896674,8.014592,8.134813,8.042627,,8.53054,,,7.853779,-1.50116,-1.6113,-1.67834,,-2.15239,,,-1.20907,-2.48518,-2.12845,-2.30562,,-2.15239,,,-2.80361,5.06134,4.83868,4.88657,,4.87459,,,5.14993,4.52744,4.61363,4.65433,,4.87459,,,4.52025,8.56645,8.7125,8.44196,,8.53054,,,8.38689,7.65666,7.59441,7.71891,,8.53054,,,7.45076,9.566242,9.56735,9.586483,,10.058058,,,9.54898,-0.083739,-0.001571,-0.016429,,-0.139277,,,-0.095431,-0.002953,0.021206,-0.00164,,-0.326813,,,-0.047444,0.138666,-0.00192,0.027264,,-0.038484,,,0.131743,0.033598,0.081856,0.038484,,-0.139277,,,0.002443,-0.182038,-0.04948,-0.068417,,-0.139277,,,-0.161879,0.098349,0.068417,0.064752,,-0.326813,,,0.026267,-0.081245,-0.017715,-0.185703,,-0.326813,,,-0.160658,0.221744,0.031154,0.088576,,-0.038484,,,0.238848,0.03543,-0.050091,-0.023213,,-0.038484,,,0.001833,0.177267,0.068866,0.068029,,0.357332,,,0.177901
63zhMNC9G0MQVvRGKg8MKlDk14Q2,9.5379951774608e-07,8.9039111665123e-07,1.4882890727121e-06,,,,9.090909090909e-08,1.02425747691042e-06,1.75445860595228e-06,1.63664419592615e-06,2.02426684258771e-06,,,,9.090909090909e-08,1.48113862494284e-06,3.030303030303e-08,3.5339102393002e-07,1.7647058823529e-07,,,,9.090909090909e-08,6.153888993459e-08,309.153666,135.973096,346.235442,,,,3.0,192.096084,-2.217179,-2.128446,-1.988492,,,,-2.46363,-2.329558,4.840926,4.788743,4.73029,,,,5.01346,4.907156,8.013692,7.932676,8.056055,,,,8.71968,7.893204,-1.71185,-1.86508,-1.75734,,,,-2.46363,-1.4461,-2.7653,-2.26731,-2.1476,,,,-2.46363,-2.98318,5.18584,4.84826,4.82432,,,,5.01346,5.16669,4.5418,4.66869,4.58011,,,,5.01346,4.55138,8.35098,8.08522,8.31267,,,,8.71968,8.24324,7.28556,7.77876,7.77876,,,,8.71968,7.22091,9.627325,9.50812,9.552587,,,,10.355533,9.605725,-0.086934,-0.019373,-0.018382,,,,-0.139277,-0.096395,-0.01928,-0.011868,0.02088,,,,-0.352469,-0.028894,0.10965,0.036826,0.032098,,,,0.00733,0.113316,0.00672,0.040928,0.034819,,,,-0.139277,0.02138,-0.210749,-0.040928,-0.055589,,,,-0.139277,-0.202807,0.08491,0.045815,0.058643,,,,-0.352469,0.081245,-0.14844,-0.054367,-0.009774,,,,-0.352469,-0.171653,0.205862,0.052534,0.073915,,,,0.00733,0.178984,-0.037874,-0.024435,-0.050702,,,,0.00733,0.019548,0.165742,0.069618,0.065651,,,,0.37906,0.177227
63zhMNC9G0MQVvRGKg8MKlDk14Q2,9.394537196937e-07,8.2757846613759e-07,1.29932617341166e-06,,,,,1.01855875399244e-06,1.54812603326604e-06,1.41298966464286e-06,2.20173936922607e-06,,,,,1.2515615246563e-06,3.030303030303e-08,2.9994232432899e-07,5.882352941176e-08,,,,,3.0642043054783e-07,348.748154,82.223127,395.594444,,,,,169.60485,-2.138021,-2.341528,-2.056778,,,,,-2.730888,4.762068,4.869806,4.766058,,,,,5.046978,8.003017,7.885064,8.058404,,,,,7.794024,-1.35991,-2.07817,-1.8148,,,,,-1.82917,-2.74615,-2.49236,-2.56419,,,,,-3.25133,5.00628,4.91769,4.92248,,,,,5.18345,4.43406,4.82671,4.68545,,,,,4.6256,8.86333,8.19056,8.26,,,,,8.16183,7.35738,7.58962,7.91762,,,,,7.33105,9.569962,9.5619,9.587665,,,,,9.69114,-0.070114,-0.021136,-0.018285,,,,,-0.096059,-0.005294,-0.054001,0.022113,,,,,-0.023518,0.143485,0.029077,0.028344,,,,,0.090332,0.08491,0.017715,0.052534,,,,,-0.000611,-0.185703,-0.0562,-0.082467,,,,,-0.207083,0.073915,-0.03543,0.088576,,,,,0.10568,-0.100793,-0.075747,-0.069639,,,,,-0.17654,0.293215,0.060476,0.07758,,,,,0.216857,-0.047648,0.012217,-0.034819,,,,,0.033598,0.191702,0.069733,0.068928,,,,,0.169513
63zhMNC9G0MQVvRGKg8MKlDk14Q2,9.4786588653134e-07,,5.190476190476e-08,,,,,1.05209024003307e-06,1.60720370983953e-06,,8e-08,,,,,2.12591891896187e-06,5.882352941176e-08,,2.380952380952e-08,,,,,1.927644808189e-08,275.835539,,5.0,,,,,286.589826,-2.305788,,-2.15119,,,,,-2.168292,4.789258,,4.74531,,,,,4.731797,8.053411,,8.305485,,,,,7.983124,-1.83156,,-2.02789,,,,,-1.58257,-3.08134,,-2.27449,,,,,-3.08134,5.19302,,4.7908,,,,,5.16908,4.59447,,4.69982,,,,,4.46997,8.62152,,8.72447,,,,,8.49702,7.5561,,7.8865,,,,,7.39808,9.66014,,9.805933,,,,,9.546151,-0.092852,,-0.036041,,,,,-0.058468,-0.036696,,-0.07758,,,,,0.006414,0.142506,,-0.026267,,,,,0.093113,0.059865,,-0.018326,,,,,0.037263,-0.180816,,-0.053756,,,,,-0.116675,0.029322,,-0.017104,,,,,0.08491,-0.170431,,-0.138056,,,,,-0.05681,0.235183,,-0.013439,,,,,0.166766,-0.028711,,-0.039095,,,,,0.001833,0.203842,,0.090834,,,,,0.132775
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.258859386273e-06,6.6939829646193e-07,1.10978066177493e-06,,5.882352941176e-08,,,9.4821632640185e-07,1.71498585142509e-06,1.23669388480168e-06,1.88602582845664e-06,,5.882352941176e-08,,,1.59258663184481e-06,1.1764705882353e-07,2.576941016011e-07,3.030303030303e-08,,5.882352941176e-08,,,1.8856180831641e-07,313.381553,90.444983,390.791074,,1.0,,,206.019869,-2.737878,-2.341528,-2.384757,,-2.57377,,,-2.355416,4.69416,4.602453,4.620277,,4.74531,,,4.534857,7.978785,8.02297,8.053431,,8.53294,,,8.078995,-2.19548,-2.07817,-2.14042,,-2.57377,,,-1.8172,-3.1388,-2.61686,-2.76051,,-2.57377,,,-3.055,4.84347,4.7477,4.82192,,4.74531,,,4.80756,4.53941,4.50349,4.47955,,4.74531,,,4.33111,8.30788,8.34858,8.49463,,8.53294,,,8.2983,7.67342,7.58962,7.69257,,8.53294,,,7.8865,9.658507,9.545178,9.589004,,10.097194,,,9.567222,-0.059365,-0.001629,-0.021041,,-0.090408,,,-0.0405,0.020547,-0.031867,0.00414,,-0.263894,,,0.017104,0.120174,0.029118,0.032003,,-0.050091,,,0.110261,0.009163,0.027489,0.037874,,-0.090408,,,0.04215,-0.109956,-0.064752,-0.060476,,-0.090408,,,-0.164323,0.075747,0.037263,0.053756,,-0.263894,,,0.115454,-0.051924,-0.082467,-0.09896,,-0.263894,,,-0.110567,0.21197,0.037874,0.087965,,-0.050091,,,0.189979,0.015272,0.001222,-0.046426,,-0.050091,,,0.024435,0.151425,0.067851,0.063442,,0.283413,,,0.155682
63zhMNC9G0MQVvRGKg8MKlDk14Q2,1.19613952492881e-06,6.2835261713663e-07,1.12163979602017e-06,,,,,1.0928669239273e-06,1.6972402381746e-06,1.50130151868304e-06,1.94206753167284e-06,,,,,1.50519932234904e-06,1.3153341044116e-07,6.775963568181e-08,4e-08,,,,,3.3730961708463e-07,314.278292,78.826896,369.540688,,,,,201.951676,-2.147045,-2.09903,-2.007538,,,,,-2.181383,4.78693,4.812689,4.739621,,,,,4.824581,8.031441,8.056489,8.065766,,,,,8.108362,-1.73101,-1.91536,-1.5706,,,,,-1.86029,-2.7677,-2.33195,-2.36547,,,,,-2.66475,5.10683,4.90333,4.86262,,,,,5.04937,4.59687,4.75728,4.56574,,,,,4.68066,8.57124,8.588,8.40365,,,,,8.33182,7.5992,7.7644,7.76918,,,,,7.89608,9.598027,9.620257,9.571886,,,,,9.688796,-0.04168,-0.004538,-0.012294,,,,,-0.064887,-0.007424,-0.023736,0.036766,,,,,0.025045,0.098302,0.022166,0.033521,,,,,0.068688,0.031154,0.040928,0.040317,,,,,-0.002443,-0.124006,-0.060476,-0.062919,,,,,-0.149051,0.086132,0.051924,0.089797,,,,,0.145386,-0.161879,-0.089797,0.003665,,,,,-0.039095,0.144775,0.033598,0.081245,,,,,0.108734,0.0281,0.009774,-0.034208,,,,,-0.004887,0.133729,0.063447,0.071759,,,,,0.131933
