userid,ATMS_1,ATMS_2,ATMS_3,ATMS_4,ATMS_5,ATMS_6,ATMS_7,ATMS_8,max_TMS_1,max_TMS_2,max_TMS_3,max_TMS_4,max_TMS_5,max_TMS_6,max_TMS_7,max_TMS_8,min_TMS_1,min_TMS_2,min_TMS_3,min_TMS_4,min_TMS_5,min_TMS_6,min_TMS_7,min_TMS_8,length_1,length_2,length_3,length_4,length_5,length_6,length_7,length_8,accel_x_1,accel_x_2,accel_x_3,accel_x_4,accel_x_5,accel_x_6,accel_x_7,accel_x_8,accel_y_1,accel_y_2,accel_y_3,accel_y_4,accel_y_5,accel_y_6,accel_y_7,accel_y_8,accel_z_1,accel_z_2,accel_z_3,accel_z_4,accel_z_5,accel_z_6,accel_z_7,accel_z_8,max_accel_x_1,max_accel_x_2,max_accel_x_3,max_accel_x_4,max_accel_x_5,max_accel_x_6,max_accel_x_7,max_accel_x_8,min_accel_x_1,min_accel_x_2,min_accel_x_3,min_accel_x_4,min_accel_x_5,min_accel_x_6,min_accel_x_7,min_accel_x_8,max_accel_y_1,max_accel_y_2,max_accel_y_3,max_accel_y_4,max_accel_y_5,max_accel_y_6,max_accel_y_7,max_accel_y_8,min_accel_y_1,min_accel_y_2,min_accel_y_3,min_accel_y_4,min_accel_y_5,min_accel_y_6,min_accel_y_7,min_accel_y_8,max_accel_z_1,max_accel_z_2,max_accel_z_3,max_accel_z_4,max_accel_z_5,max_accel_z_6,max_accel_z_7,max_accel_z_8,min_accel_z_1,min_accel_z_2,min_accel_z_3,min_accel_z_4,min_accel_z_5,min_accel_z_6,min_accel_z_7,min_accel_z_8,total_accel_1,total_accel_2,total_accel_3,total_accel_4,total_accel_5,total_accel_6,total_accel_7,total_accel_8,gyro_x_1,gyro_x_2,gyro_x_3,gyro_x_4,gyro_x_5,gyro_x_6,gyro_x_7,gyro_x_8,gyro_y_1,gyro_y_2,gyro_y_3,gyro_y_4,gyro_y_5,gyro_y_6,gyro_y_7,gyro_y_8,gyro_z_1,gyro_z_2,gyro_z_3,gyro_z_4,gyro_z_5,gyro_z_6,gyro_z_7,gyro_z_8,max_gyro_x_1,max_gyro_x_2,max_gyro_x_3,max_gyro_x_4,max_gyro_x_5,max_gyro_x_6,max_gyro_x_7,max_gyro_x_8,min_gyro_x_1,min_gyro_x_2,min_gyro_x_3,min_gyro_x_4,min_gyro_x_5,min_gyro_x_6,min_gyro_x_7,min_gyro_x_8,max_gyro_y_1,max_gyro_y_2,max_gyro_y_3,max_gyro_y_4,max_gyro_y_5,max_gyro_y_6,max_gyro_y_7,max_gyro_y_8,min_gyro_y_1,min_gyro_y_2,min_gyro_y_3,min_gyro_y_4,min_gyro_y_5,min_gyro_y_6,min_gyro_y_7,min_gyro_y_8,max_gyro_z_1,max_gyro_z_2,max_gyro_z_3,max_gyro_z_4,max_gyro_z_5,max_gyro_z_6,max_gyro_z_7,max_gyro_z_8,min_gyro_z_1,min_gyro_z_2,min_gyro_z_3,min_gyro_z_4,min_gyro_z_5,min_gyro_z_6,min_gyro_z_7,min_gyro_z_8,total_gyro_1,total_gyro_2,total_gyro_3,total_gyro_4,total_gyro_5,total_gyro_6,total_gyro_7,total_gyro_8
151985,,,0.4,0.856577,0.58426,,,,,,0.4,1.115127,1.70805,,,,,,0.4,0.34606,0.034349,,,,,,49.199967,649.882621,396.864461,,,,,,-1.482011,-1.427044,-1.404573,,,,,,5.496489,5.655204,5.598541,,,,,,7.070077,6.931912,7.048829,,,,,,-1.482011,-1.367688,-1.352724,,,,,,-1.482011,-1.520318,-1.462259,,,,,,5.496489,5.783194,5.681441,,,,,,5.496489,5.562329,5.477335,,,,,,7.070077,7.165846,7.152678,,,,,,7.070077,6.758233,6.946776,,,,,,9.0771,9.060114,9.110931,,,,,,-0.044593,-0.029729,-0.038294,,,,,,-0.181732,-0.256309,-0.226746,,,,,,-0.097128,-0.290823,-0.344757,,,,,,-0.044593,-0.008247,-0.026267,,,,,,-0.044593,-0.062003,-0.069639,,,,,,-0.181732,-0.189674,-0.174402,,,,,,-0.181732,-0.339336,-0.376293,,,,,,-0.097128,-0.13775,-0.205251,,,,,,-0.097128,-0.346055,-0.394619,,,,,,0.210829,0.398946,0.427903,,,
151985,,,,2.338891,10.543213,,,,,,,3.750314,10.543213,,,,,,,0.811962,10.543213,,,,,,,977.911945,21.086425,,,,,,,-1.455874,-1.814805,,,,,,,5.566519,5.426458,,,,,,,6.928022,7.10599,,,,,,,-1.356315,-1.814805,,,,,,,-1.572392,-1.814805,,,,,,,5.654506,5.426458,,,,,,,5.489904,5.426458,,,,,,,6.99047,7.10599,,,,,,,6.827665,7.10599,,,,,,,9.006157,9.123325,,,,,,,0.019039,-0.000305,,,,,,,-0.046833,-0.063835,,,,,,,-0.002443,-0.042761,,,,,,,0.022602,-0.000305,,,,,,,0.016493,-0.000305,,,,,,,-0.036652,-0.063835,,,,,,,-0.056505,-0.063835,,,,,,,0.007636,-0.042761,,,,,,,-0.014661,-0.042761,,,,,,,0.05165,0.076834,,,
151985,4.155716,,,,,,,5.708866,4.155716,,,,,,,12.422615,4.155716,,,,,,,1.500535,523.620275,,,,,,,598.744642,-1.595137,,,,,,,-1.550246,5.5743,,,,,,,5.608816,6.836044,,,,,,,6.985882,-1.595137,,,,,,,-1.534683,-1.595137,,,,,,,-1.569998,5.5743,,,,,,,5.631162,5.5743,,,,,,,5.576096,6.836044,,,,,,,7.067085,6.836044,,,,,,,6.916849,8.963749,,,,,,,9.092063,-0.01405,,,,,,,-0.001629,-0.076664,,,,,,,-0.071878,0.025045,,,,,,,0.026165,-0.01405,,,,,,,0.009163,-0.01405,,,,,,,-0.01069,-0.076664,,,,,,,-0.051618,-0.076664,,,,,,,-0.083689,0.025045,,,,,,,0.029322,0.025045,,,,,,,0.024129,0.081866,,,,,,,0.077339
151985,1.983334,,,,,,,8.177738,1.983334,,,,,,,11.466137,1.983334,,,,,,,4.88934,226.100032,,,,,,,624.321067,-1.473631,,,,,,,-1.529596,5.537788,,,,,,,5.55784,7.032968,,,,,,,6.936601,-1.473631,,,,,,,-1.526902,-1.473631,,,,,,,-1.532289,5.537788,,,,,,,5.56173,5.537788,,,,,,,5.553949,7.032968,,,,,,,6.965331,7.032968,,,,,,,6.90787,9.072008,,,,,,,9.01921,-0.071471,,,,,,,-0.05849,-0.069944,,,,,,,-0.072235,0.015272,,,,,,,0.025351,-0.071471,,,,,,,-0.047342,-0.071471,,,,,,,-0.069639,-0.069944,,,,,,,-0.071471,-0.069944,,,,,,,-0.072998,0.015272,,,,,,,0.027794,0.015272,,,,,,,0.022907,0.101161,,,,,,,0.096789
151985,,,,0.609464,0.175284,0.358353,,,,,,0.91046,0.385375,0.358353,,,,,,0.204751,0.102735,0.358353,,,,,,139.429198,218.232601,48.377596,,,,,,-1.33357,-1.275444,-1.356315,,,,,,5.440025,5.370394,5.56592,,,,,,7.155471,7.090628,6.488885,,,,,,-1.316212,-1.188721,-1.356315,,,,,,-1.362301,-1.347936,-1.356315,,,,,,5.455787,5.443816,5.56592,,,,,,5.430648,5.251083,5.56592,,,,,,7.168838,7.257424,6.488885,,,,,,7.136517,7.002441,6.488885,,,,,,9.086996,8.986386,8.655905,,,,,,-0.036652,-0.032138,-0.001833,,,,,,-0.064752,-0.059356,0.005803,,,,,,-0.019853,0.003563,0.090713,,,,,,-0.032376,0.101404,-0.001833,,,,,,-0.043982,-0.071777,-0.001833,,,,,,-0.061087,0.017715,0.005803,,,,,,-0.066584,-0.08094,0.005803,,,,,,-0.012828,0.100487,0.090713,,,,,,-0.025351,-0.019853,0.090713,,,,,,0.0774,0.094545,0.090917,,
151985,,,,0.455114,0.182177,0.044745,0.034728,,,,,0.455114,0.517363,0.044745,0.034728,,,,,0.455114,0.070775,0.044745,0.034728,,,,,57.344416,145.180284,5.951084,4.16736,,,,,-0.970849,-1.105024,-1.10672,-1.168969,,,,,5.494094,5.560035,5.402516,5.334281,,,,,6.945579,7.441478,7.443573,7.340622,,,,,-0.970849,-1.052252,-1.10672,-1.168969,,,,,-0.970849,-1.188123,-1.10672,-1.168969,,,,,5.494094,5.594651,5.402516,5.334281,,,,,5.494094,5.513248,5.402516,5.334281,,,,,6.945579,7.567473,7.443573,7.340622,,,,,6.945579,7.262212,7.443573,7.340622,,,,,8.908911,9.355046,9.263843,9.149087,,,,,-0.251371,-0.185754,-0.039401,0.018937,,,,,-0.150578,-0.184023,-0.073915,-0.00733,,,,,0.049175,0.049887,0.032987,0.030849,,,,,-0.251371,-0.099266,-0.039401,0.018937,,,,,-0.251371,-0.262672,-0.039401,0.018937,,,,,-0.150578,-0.105069,-0.073915,-0.00733,,,,,-0.150578,-0.229685,-0.073915,-0.00733,,,,,0.049175,0.061697,0.032987,0.030849,,,,,0.049175,0.039095,0.032987,0.030849,,,,,0.297118,0.268644,0.090022,0.036932,
151985,,,,,0.192858,0.119675,,,,,,,0.528238,0.132425,,,,,,,0.04429,0.106925,,,,,,,311.051466,27.485047,,,,,,,-1.211227,-1.173458,,,,,,,5.34745,5.766734,,,,,,,7.27544,6.772298,,,,,,,-0.958878,-1.146823,,,,,,,-1.431733,-1.200094,,,,,,,5.803545,5.825691,,,,,,,5.075109,5.707777,,,,,,,8.082825,6.827066,,,,,,,6.641516,6.717531,,,,,,,9.119709,8.972368,,,,,,,0.088209,0.169057,,,,,,,-0.024083,0.128282,,,,,,,0.019807,0.055589,,,,,,,0.481362,0.209527,,,,,,,-0.180511,0.128587,,,,,,,0.144164,0.139583,,,,,,,-0.17318,0.116981,,,,,,,0.115759,0.067195,,,,,,,-0.063835,0.043982,,,,,,,0.225727,0.219945,,
151985,,,,,0.206029,0.160852,,,,,,,0.350616,0.160852,,,,,,,0.099537,0.160852,,,,,,,179.965289,16.567762,,,,,,,-1.243702,-1.151012,,,,,,,5.498541,5.465962,,,,,,,6.896925,6.833052,,,,,,,-1.156399,-1.151012,,,,,,,-1.30065,-1.151012,,,,,,,5.521628,5.465962,,,,,,,5.46716,5.465962,,,,,,,6.988076,6.833052,,,,,,,6.789956,6.833052,,,,,,,8.907981,8.825654,,,,,,,-0.042979,0.007941,,,,,,,0.06641,-0.007025,,,,,,,-0.00829,0.00336,,,,,,,0.005498,0.007941,,,,,,,-0.083078,0.007941,,,,,,,0.123395,-0.007025,,,,,,,0.013134,-0.007025,,,,,,,0.009468,0.00336,,,,,,,-0.01741,0.00336,,,,,,,0.082943,0.011122,,
151985,,,,,0.221826,0.100984,,,,,,,0.38255,0.10485,,,,,,,0.045521,0.097117,,,,,,,169.405002,27.941081,,,,,,,-1.205032,-1.276409,,,,,,,5.675705,5.506664,,,,,,,7.162554,7.02369,,,,,,,-1.146823,-1.256956,,,,,,,-1.301847,-1.295862,,,,,,,5.724536,5.514445,,,,,,,5.56173,5.498883,,,,,,,7.510611,7.051523,,,,,,,6.884527,6.995857,,,,,,,9.218728,9.015864,,,,,,,0.103669,0.019548,,,,,,,0.060552,0.099571,,,,,,,0.022424,-0.033903,,,,,,,0.170737,0.035125,,,,,,,-0.016493,0.003971,,,,,,,0.143859,0.104153,,,,,,,-0.103236,0.09499,,,,,,,0.051007,-0.031154,,,,,,,-0.0281,-0.036652,,,,,,,0.156599,0.108069,,
151985,,,,0.038997,0.089726,0.173641,,,,,,0.038997,0.218637,0.279535,,,,,,0.038997,0.038679,0.119578,,,,,,5.693606,329.524089,54.489737,,,,,,-1.261744,-1.370695,-1.605462,,,,,,5.64852,5.937883,6.125116,,,,,,6.931812,6.847826,6.642264,,,,,,-1.261744,-1.107917,-1.269525,,,,,,-1.261744,-1.637634,-1.808221,,,,,,5.64852,6.473921,6.285976,,,,,,5.64852,5.668272,5.988497,,,,,,6.931812,7.224504,6.781576,,,,,,6.931812,6.535572,6.402095,,,,,,9.030382,9.169855,9.180653,,,,,,0.08094,0.1237,0.122173,,,,,,-0.015577,-0.001177,0.077809,,,,,,0.001527,-0.053279,-0.074296,,,,,,0.08094,0.235489,0.166155,,,,,,0.08094,0.00672,0.103236,,,,,,-0.015577,0.066584,0.125838,,,,,,-0.015577,-0.096822,0.045815,,,,,,0.001527,0.037568,-0.051007,,,,,,0.001527,-0.138972,-0.105069,,,,,,0.082439,0.155162,0.166968,,
