userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
151985,1400463429396,portrait,down,922.0,1357.0,1.0,0.021568628,-1.5526398,5.3462524,7.216124,-0.12064589,-0.122478485,-0.37048978
151985,1400463429420,portrait,move,922.0,1357.0,1.0,0.021568628,-1.489792,5.5102553,6.825869,-0.029321533,-0.122478485,-0.40958515
151985,1400463429436,portrait,move,922.0,1357.0,1.0,0.021568628,-1.4688427,5.5324016,6.9126587,-0.03145956,-0.17959438,-0.40775254
151985,1400463429452,portrait,move,922.0,1357.0,1.0,0.021568628,-1.4682442,5.5383873,6.9850836,-0.038789943,-0.17654006,-0.40591997
151985,1400463429469,portrait,move,922.0,1357.0,1.0,0.021568628,-1.4933833,5.521029,7.053917,-0.040011674,-0.15943582,-0.39828414
151985,1400463429502,portrait,move,922.0,1357.0,1.0,0.023529414,-1.4999673,5.5551467,7.079654,-0.032375857,-0.15974127,-0.3943135
151985,1400463429523,portrait,move,921.0,1352.7538,1.0,0.025490198,-1.4622587,5.571307,7.101801,-0.0290161,-0.17898351,-0.39461896
151985,1400463429544,portrait,move,921.0,1346.9329,1.0,0.025490198,-1.4281414,5.61141,7.100005,-0.026267206,-0.18417588,-0.39400807
151985,1400463429553,portrait,move,921.0,1342.2382,1.0,0.025490198,-1.3970166,5.603629,7.061698,-0.028099801,-0.18295415,-0.3894266
151985,1400463429569,portrait,move,921.0,1337.5997,1.0,0.027450982,-1.4137762,5.6347537,7.0347633,-0.03268129,-0.1826487,-0.38423425
151985,1400463429587,portrait,move,921.0,1332.9546,1.0,0.027450982,-1.3862427,5.6670756,6.9928646,-0.029626964,-0.17470746,-0.37384954
151985,1400463429604,portrait,move,921.0,1327.8378,1.0,0.027450982,-1.352724,5.681441,6.9467764,-0.026572637,-0.17440203,-0.3594942
151985,1400463429737,portrait,move,929.1167,1282.5332,1.0,0.029411767,-1.3676877,5.6940103,6.921637,-0.022602014,-0.18967366,-0.34605515
151985,1400463429861,portrait,move,930.0,1196.5275,1.0,0.029411767,-1.520318,5.591658,6.758233,-0.008246681,-0.20463985,-0.33628133
151985,1400463429985,portrait,move,934.7651,1079.8793,1.0,0.03137255,-1.4407109,5.783194,6.870162,-0.008246681,-0.22907446,-0.3222314
151985,1400463430112,portrait,move,951.13116,952.6883,1.0,0.03137255,-1.4000094,5.719149,6.931214,-0.02687807,-0.27152961,-0.31215215
